iter	Passed	Remaining
948	111261	5979
949	111377	5861
950	111492	5744
951	111608	5627
952	111723	5509
953	111838	5392
954	111953	5275
955	112068	5157
956	112183	5040
957	112299	4923
958	112414	4806
959	112530	4688
960	112645	4571
961	112760	4454
962	112876	4336
963	112992	4219
964	113107	4102
965	113223	3985
966	113338	3867
967	113454	3750
968	113569	3633
969	113685	3516
970	113801	3398
971	113916	3281
972	114031	3164
973	114148	3047
974	114263	2929
975	114379	2812
976	114494	2695
977	114611	2578
978	114726	2460
979	114842	2343
980	114957	2226
981	115073	2109
982	115189	1992
983	115306	1874
984	115422	1757
985	115537	1640
986	115654	1523
987	115770	1406
988	115885	1288
989	116000	1171
990	116115	1054
991	116231	937
992	116348	820
993	116463	703
994	116579	585
995	116694	468
996	116809	351
997	116925	234
998	117041	117
999	117156	0
